name,Location,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,WiFi,Indoor Pool,Spa,Baggage Storage,Free WiFi,Airport Shuttle,Air Conditioning,Airport Shuttle (free),BBQ Facilities,Pet Friendly,On-site Parking,Elevator,Free Parking,Daily Housekeeping,Room Service,24-Hour Front Desk,exceptional Fitness Center,Outdoor Pool,excellent Fitness Center,Non-smoking Rooms,Restaurant,Family Rooms,wonderful Fitness Center,Garden,good Spa & Wellness Center,Swimming Pool,Designated Smoking Area,Facilities for Disabled Guests,Private Parking,good Fitness Center,Fitness Center,Parking,Laundry,Heating,very good Fitness Center,Bar,Terrace
Your Home in Harlem,10027,148,8.9,9.2,9.1,8.8,9.5,8.9,9.1,8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Athenas Domus Stone,10011,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blakely New York Hotel,10019,"2,414",8.6,8.8,8.5,8,8.8,8,8.9,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"Club Quarters Hotel, Opposite Rockefeller Center",10019,"1,955",8.1,8.1,7.8,7.6,8.2,7.4,8.9,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Home NYC,10026,101,9.7,9.8,9.9,9.9,9.9,9.6,10,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1 Hotel Central Park,10019,"1,547",9.0,9.4,9,8.9,9.3,7.9,9.4,9.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Millennium Hilton New York One UN Plaza,10017,"3,548",8.4,8.8,8.8,8.2,8.2,7.8,5.7,8.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Hilton Garden Inn Central Park South,10019,"3,269",8.3,8.6,8.2,7.9,8.3,7.5,8.3,9.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Chambers Hotel,10019,"1,011",8.8,9.1,8.7,8.4,9.3,8,9.3,9.6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hotel Boutique at Grand Central,10017,"2,471",8.6,9,8.5,8.4,8.5,8.1,9.1,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
